codigo_ocorrencia1;ocorrencia_tipo;taxonomia_tipo_icao
83509;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83508;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83507;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83506;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83505;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83504;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83503;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83502;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83501;COLISÃO COM AVE;BIRD
83500;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
83500;PERDA DE CONTROLE NO SOLO;LOC-G
83499;COLISÃO COM AVE;BIRD
83498;COLISÃO COM AVE;BIRD
83497;COLISÃO COM AVE;BIRD
83496;COLISÃO COM AVE;BIRD
83495;COLISÃO COM AVE;BIRD
83494;COLISÃO COM AVE;BIRD
83493;COLISÃO COM AVE;BIRD
83492;COLISÃO COM AVE;BIRD
83491;COLISÃO COM AVE;BIRD
83490;COLISÃO COM AVE;BIRD
83489;COLISÃO COM AVE;BIRD
83488;COLISÃO COM AVE;BIRD
83487;COLISÃO COM AVE;BIRD
83486;COLISÃO COM AVE;BIRD
83485;COLISÃO COM AVE;BIRD
83484;COLISÃO COM AVE;BIRD
83483;COLISÃO COM AVE;BIRD
83482;COLISÃO COM AVE;BIRD
83481;COLISÃO COM FAUNA;WILD
83480;COLISÃO COM FAUNA;WILD
83479;COLISÃO COM FAUNA;WILD
83478;COLISÃO COM AVE;BIRD
83477;COLISÃO COM AVE;BIRD
83476;COLISÃO COM AVE;BIRD
83475;COLISÃO COM AVE;BIRD
83474;COLISÃO COM AVE;BIRD
83473;COLISÃO COM AVE;BIRD
83472;COLISÃO COM AVE;BIRD
83471;COLISÃO COM AVE;BIRD
83470;COLISÃO COM AVE;BIRD
83469;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83468;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83467;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83466;AERÓDROMO;ADRM
83465;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83463;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL
83463;EXCURSÃO DE PISTA;RE
83462;COLISÃO COM AVE;BIRD
83461;COLISÃO COM AVE;BIRD
83460;COLISÃO COM AVE;BIRD
83459;COLISÃO COM AVE;BIRD
83458;COLISÃO COM AVE;BIRD
83457;COLISÃO COM AVE;BIRD
83456;COLISÃO COM AVE;BIRD
83455;COLISÃO COM AVE;BIRD
83454;COLISÃO COM AVE;BIRD
83453;COLISÃO COM AVE;BIRD
83452;COLISÃO COM AVE;BIRD
83451;COLISÃO COM AVE;BIRD
83450;COLISÃO COM AVE;BIRD
83449;COLISÃO COM AVE;BIRD
83448;COLISÃO COM AVE;BIRD
83447;COLISÃO COM AVE;BIRD
83446;COLISÃO COM AVE;BIRD
83445;COLISÃO COM AVE;BIRD
83444;COLISÃO COM AVE;BIRD
83443;COLISÃO COM AVE;BIRD
83442;COLISÃO COM AVE;BIRD
