codigo_ocorrencia1;ocorrencia_tipo;taxonomia_tipo_icao
84011;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
84010;COLISÃO COM AVE;BIRD
84009;COLISÃO COM AVE;BIRD
84008;COLISÃO COM AVE;BIRD
84007;COLISÃO COM AVE;BIRD
84006;COLISÃO COM AVE;BIRD
84005;COLISÃO COM AVE;BIRD
84004;COLISÃO COM AVE;BIRD
84003;COLISÃO COM AVE;BIRD
84002;COLISÃO COM AVE;BIRD
84000;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83999;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83998;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83997;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83996;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83995;COLISÃO COM AVE;BIRD
83994;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83993;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SCF-PP
83992;FALHA DO MOTOR EM VOO;SCF-PP
83991;COLISÃO COM AVE;BIRD
83990;COLISÃO COM AVE;BIRD
83988;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83987;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83986;CONTATO ANORMAL COM A PISTAA;ARC
83985;CONTATO ANORMAL COM A PISTAA;ARC
83984;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83983;SEGURANÇA NA CABINE;CABIN
83982;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83981;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83980;FOGO/FUMAÇA (SEM IMPACTO);F-NI
83979;TURBULÊNCIA;TURB
83978;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83977;OUTROS;OTHR
83976;COLISÃO COM FAUNA;WILD
83975;COLISÃO COM AVE;BIRD
83974;COLISÃO COM AVE;BIRD
83973;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP
83971;POUSO EM LOCAL NÃO PREVISTO;OTHR
83970;PERDA DE CONTROLE EM VOO;LOC-I
83969;COLISÃO COM FAUNA;WILD
83968;COLISÃO COM AVE;BIRD
83967;COLISÃO COM AVE;BIRD
83966;COLISÃO COM AVE;BIRD
83965;COLISÃO COM FAUNA;WILD
83964;COLISÃO COM AVE;BIRD
83963;COLISÃO COM AVE;BIRD
83962;COLISÃO COM AVE;BIRD
83961;COLISÃO COM AVE;BIRD
83960;COLISÃO COM AVE;BIRD
83959;COLISÃO COM FAUNA;WILD
