arquivo,numero,codigo_ocorrencia,join,fatal,n_fatalidades,nivel_dano,h_total,h_tipo,h_total_30d,h_total_24h,idade_pic,fonte_horas,tipo_operacao,fase_voo,motor_tipo,motor_qtd,pmd,assentos,ano_fabricacao,fabricante,modelo,tipo_ocorrencia,tipo_icao,uf,ano_ocorrencia,meteo,total_recomendacoes,fator_humano,fator_operacional,fator_material,n_fatores
SUMA_A-055CENIPA2015_PP-GAA.pdf,A-055/CENIPA/2015,53225,numero,0,0,SUBSTANCIAL,788.0,478.0,,,,narrativa,INSTRUÇÃO,POUSO,PISTÃO,1,770,3,1990,AERO BOERO,AB-115,PERDA DE CONTROLE NO SOLO,LOC-G,PR,2015,VMC,2,0,1,0,4
SUMA_A-072CENIPA2015_PR-RLD.pdf,A-072/CENIPA/2015,53256,numero,0,0,SUBSTANCIAL,600.0,200.0,,,,narrativa,PRIVADA,CRUZEIRO,PISTÃO,1,1633,5,2013,CIRRUS,SR22,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,PR,2015,VMC,0,0,1,0,2
SUMA_A-075CENIPA2015_PR-PTN.pdf,A-075/CENIPA/2015,53254,numero,0,0,SUBSTANCIAL,500.0,160.0,,,,narrativa,AGRÍCOLA,VOO A BAIXA ALTURA,PISTÃO,1,1315,1,1966,PIPER AIRCRAFT,PA-25-235,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,PR,2015,,1,0,1,0,4
SUMA_A-080CENIPA2015_PT-BDY_1.pdf,A-080/CENIPA/2015,53268,numero,0,0,SUBSTANCIAL,200.0,45.0,,,,narrativa,PRIVADA,POUSO,PISTÃO,2,2155,6,1986,PIPER AIRCRAFT,PA-34-220T,POUSO LONGO,RE,MG,2015,,1,0,1,0,2
SUMA_A-087CENIPA2015_PP-GKX.pdf,A-087/CENIPA/2015,53325,numero,0,0,SUBSTANCIAL,18.0,18.0,,,,narrativa,INSTRUÇÃO,POUSO,PISTÃO,1,680,2,1951,PIPER AIRCRAFT,PA-18,PERDA DE CONTROLE NO SOLO,LOC-G,RS,2015,,1,1,1,0,13
SUMA_A-096CENIPA2015_PP-GMI_1.pdf,A-096/CENIPA/2015,53356,numero,0,0,SUBSTANCIAL,440.0,176.0,,,,narrativa,INSTRUÇÃO,POUSO,PISTÃO,1,770,2,1992,AERO BOERO,AB-115,EXCURSÃO DE PISTA,RE,SC,2015,,1,0,1,0,3
SUMA_A-106CENIPA2015_PP-GUU_1.pdf,A-106/CENIPA/2015,53377,numero,0,0,SUBSTANCIAL,30.0,,,,,narrativa,INSTRUÇÃO,POUSO,PISTÃO,1,660,2,1962,NEIVA,56-C,POUSO BRUSCO,ARC,RS,2015,,2,0,1,0,6
SUMA_A-108CENIPA2014_PT-EZW.pdf,A-108/CENIPA/2014,51533,numero,0,0,SUBSTANCIAL,20.0,,,,,narrativa,PRIVADA,CORRIDA APÓS POUSO,PISTÃO,2,2073,7,1979,EMBRAER,EMB-810C,COM TREM DE POUSO,SCF-NP,SP,2014,VMC,0,0,1,0,3
SUMA_A-108CENIPA2015_PT-KKL_1.pdf,A-108/CENIPA/2015,53423,numero,0,0,SUBSTANCIAL,140.0,40.0,,,,narrativa,PRIVADA,POUSO,PISTÃO,1,1338,4,1974,CESSNA AIRCRAFT,182P,POUSO BRUSCO,ARC,SE,2015,VMC,0,0,1,0,3
SUMA_A-127CENIPA2014_PP-GCL.pdf,A-127/CENIPA/2014,51752,numero,0,0,SUBSTANCIAL,230.0,40.0,,,,narrativa,INSTRUÇÃO,CORRIDA APÓS POUSO,PISTÃO,1,844,2,1991,AERO BOERO,AB-180,PERDA DE CONTROLE NO SOLO,LOC-G,SP,2014,,0,0,1,0,3
SUMA_A-164CENIPA2014_PT-GZZ.pdf,A-164/CENIPA/2014,52537,numero,0,0,SUBSTANCIAL,700.0,150.0,,,,narrativa,AGRÍCOLA,ESPECIALIZADA,PISTÃO,1,1800,1,1984,NEIVA,EMB-201A,FALHA DO MOTOR EM VOO,SCF-PP,RS,2014,,0,0,0,0,0
SUMA_A-170CENIPA2014_PR-NAR_1.pdf,A-170/CENIPA/2014,52635,numero,0,0,SUBSTANCIAL,42.0,,,,,narrativa,INSTRUÇÃO,MANOBRA,PISTÃO,1,1043,0,1977,CESSNA AIRCRAFT,172N,FALHA DO MOTOR EM VOO,SCF-PP,MG,2014,,1,1,1,0,3
SUMA_A-203CENIPA2014_PT-UAD.pdf,A-203/CENIPA/2014,52836,numero,0,0,SUBSTANCIAL,1300.0,400.0,,,,narrativa,AGRÍCOLA,RETA FINAL,PISTÃO,1,1800,1,1985,NEIVA,EMB-201A,PERDA DE CONTROLE EM VOO,LOC-I,RS,2014,,0,0,1,0,4
SUMA_A-204CENIPA2014_PT-UVA.pdf,A-204/CENIPA/2014,52837,numero,0,0,SUBSTANCIAL,3400.0,2200.0,,,,narrativa,AGRÍCOLA,ESPECIALIZADA,PISTÃO,1,1800,1,2008,EMBRAER,EMB-202,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,RS,2014,,1,0,1,0,3
SUMA_A-207CENIPA2014_PT-UCN.pdf,A-207/CENIPA/2014,52839,numero,0,0,SUBSTANCIAL,1500.0,500.0,,,,narrativa,AGRÍCOLA,CORRIDA APÓS POUSO,PISTÃO,1,1800,1,1987,NEIVA,EMB-201A,PERDA DE CONTROLE NO SOLO,LOC-G,RS,2014,,0,0,1,0,3
SUMA_A-500CENIPA2016_PP-FLK.pdf,A-500/CENIPA/2016,45272,numero,0,0,SUBSTANCIAL,70.0,,,,,narrativa,INSTRUÇÃO,CORRIDA APÓS POUSO,PISTÃO,1,770,2,1990,AERO BOERO,AB-115,PERDA DE CONTROLE NO SOLO,LOC-G,RS,2011,,2,0,1,0,4
SUMA_A-506CENIPA2016_PP-FAX.pdf,A-506/CENIPA/2016,45273,numero,0,0,SUBSTANCIAL,225.0,90.0,,,,narrativa,INSTRUÇÃO,POUSO,PISTÃO,1,770,3,1993,AERO BOERO,AB-115,PERDA DE CONTROLE NO SOLO,LOC-G,RS,2011,,2,0,1,0,5
SUMA_A-545CENIPA2015_PT-IKF.pdf,A-545/CENIPA/2015,53433,numero,0,0,SUBSTANCIAL,2000.0,110.0,,,,narrativa,PRIVADA,APROXIMAÇÃO FINAL,PISTÃO,1,1179,4,1973,PIPER AIRCRAFT,PA-28R-200,PERDA DE CONTROLE EM VOO,LOC-I,PR,2012,,0,0,1,0,3
SUMA_A-549CENIPA2015_PR-SAO.pdf,A-549/CENIPA/2015,46336,numero,0,0,SUBSTANCIAL,505.0,200.0,,,,narrativa,INSTRUÇÃO,ARREMETIDA NO SOLO,PISTÃO,1,800,2,2012,DIAMOND,DA20-C1,PERDA DE CONTROLE NO SOLO,LOC-G,SP,2012,,0,0,1,0,2
SUMA_A-563CENIPA2015_PT-EGU.pdf,A-563/CENIPA/2015,37555,numero,0,0,LEVE,5860.0,,,,,narrativa,TÁXI AÉREO,SUBIDA,PISTÃO,2,2073,6,1976,EMBRAER,EMB-810C,FALHA DO MOTOR EM VOO,SCF-PP,AM,2009,,2,0,1,0,2
ec_gle_07_02_12.pdf,A-009/CENIPA/2013,46859,numero,0,0,SUBSTANCIAL,15653.0,,52.85,10.08,,tabela,INSTRUÇÃO,SUBIDA,PISTÃO,1,758,2,1982,CESSNA AIRCRAFT,152,FALHA DO MOTOR EM VOO,SCF-PP,PR,2013,VMC,0,0,0,0,0
n2176p_09_02_09_1.pdf,A-120/CENIPA/2012,35256,numero,0,0,SUBSTANCIAL,3000.0,100.0,45.0,3.0,,tabela,INSTRUÇÃO,CIRCUITO DE TRÁFEGO,PISTÃO,2,1588,0,1956,PIPER AIRCRAFT,PA-23,FALHA DO MOTOR EM VOO,SCF-PP,MG,2009,,1,0,1,0,5
n400sa_28_11_08.pdf,A-086/CENIPA/2010,34555,numero,1,4,DESTRUÍDA,3911.08,1500.0,,,,tabela,PRIVADA,CRUZEIRO,PISTÃO,2,2495,6,1987,BEECH AIRCRAFT,58,PERDA DE CONTROLE EM VOO,LOC-I,GO,2008,,3,1,1,0,5
n4489t_26_03_12.pdf,A-106/CENIPA/2012,46901,numero,0,0,SUBSTANCIAL,850.0,45.0,15.0,2.5,,tabela,PRIVADA,CORRIDA APÓS POUSO,PISTÃO,2,2073,6,0,PIPER AIRCRAFT,PA-34-200,COM TREM DE POUSO,SCF-NP,AM,2012,,2,0,1,0,2
pp_abx_18_02_11.pdf,A-088/CENIPA/2012,43906,numero,0,0,DESTRUÍDA,595.33,264.67,101.92,4.0,,tabela,PRIVADA,DECOLAGEM,PISTÃO,1,757,2,1978,CESSNA AIRCRAFT,152,PERDA DE CONTROLE EM VOO,LOC-I,MT,2011,,1,0,1,0,3
pp_cle_30_08_11.pdf,A-052/CENIPA/2013,47142,numero,1,10,SUBSTANCIAL,1500.0,1500.0,1.0,1.0,,tabela,TÁXI AÉREO,CIRCUITO DE TRÁFEGO,TURBOÉLICE,2,3629,10,1986,EMBRAER,EMB-820C CARAJA,PERDA DE CONTROLE EM VOO,LOC-I,PA,2013,,3,1,1,0,13
pp_dlf_01_04_09_1.pdf,A-027/CENIPA/2011,36216,numero,0,0,LEVE,680.0,448.58,49.5,3.0,,tabela,INSTRUÇÃO,POUSO,PISTÃO,1,587,2,1947,CIA AERONAUTICA PAULISTA,CAP-4,POUSO BRUSCO,ARC,SP,2009,,2,1,1,0,14
pp_ejb_01_07_11.pdf,A-104/CENIPA/2012,44775,numero,1,4,DESTRUÍDA,2224.0,924.0,50.0,2.67,,tabela,TÁXI AÉREO,CRUZEIRO,PISTÃO,2,2155,6,1982,EMBRAER,EMB-810D,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OTHR,PA,2011,,5,1,1,0,9
pp_faz_10_07_14.pdf,A-123/CENIPA/2014,51671,numero,0,0,SUBSTANCIAL,225.0,190.0,,,,narrativa,INSTRUÇÃO,DECOLAGEM,PISTÃO,1,770,2,1987,AERO BOERO,AB-115,EXCURSÃO DE PISTA,RE,RS,2014,,1,0,1,0,5
pp_fkz__03_03_09.pdf,A-079/CENIPA/2011,36055,numero,0,0,SUBSTANCIAL,670.0,400.0,5.0,1.0,,tabela,INSTRUÇÃO,CORRIDA APÓS POUSO,PISTÃO,1,770,3,1990,AERO BOERO,AB-115,PERDA DE CONTROLE NO SOLO,LOC-G,RS,2009,,1,0,1,0,2
pp_flu_19_06_14.pdf,A-112/CENIPA/2014,51653,numero,0,0,SUBSTANCIAL,210.0,,,,,narrativa,INSTRUÇÃO,DECOLAGEM,PISTÃO,1,844,3,1990,AERO BOERO,AB-180,PERDA DE CONTROLE EM VOO,LOC-I,RS,2014,,1,0,1,0,4
pp_fox_28_01_11.pdf,A-074/CENIPA/2012,43778,numero,0,0,SUBSTANCIAL,340.0,140.0,40.0,0.0,,tabela,INSTRUÇÃO,ARREMETIDA NO AR,PISTÃO,1,726,2,1977,CESSNA AIRCRAFT,150M,FALHA DO MOTOR EM VOO,SCF-PP,MS,2011,,5,0,1,0,2
pp_gam_14_09_08.pdf,A-022/CENIPA/2010,34575,numero,0,0,SUBSTANCIAL,585.58,154.33,2.33,0.0,,tabela,INSTRUÇÃO,SUBIDA,PISTÃO,1,844,3,1991,AERO BOERO,AB-180,FALHA DO MOTOR EM VOO,SCF-PP,RS,2008,,7,0,1,0,6
pp_gbr_18_12_13.pdf,A-226/CENIPA/2013,50251,numero,0,0,SUBSTANCIAL,270.0,,,,,narrativa,INSTRUÇÃO,CORRIDA APÓS POUSO,PISTÃO,1,770,3,1991,AERO BOERO,AB-115,PERDA DE CONTROLE NO SOLO,LOC-G,MT,2013,,0,0,1,0,2
pp_gbw_07_04_10.pdf,A-012/CENIPA/2011,40171,numero,0,0,SUBSTANCIAL,343.33,256.67,47.83,2.92,,tabela,INSTRUÇÃO,DECOLAGEM,PISTÃO,1,770,2,1991,AERO BOERO,AB-115,FALHA DO MOTOR EM VOO,SCF-PP,TO,2010,,2,0,1,0,2
pp_gct_12_04_11.pdf,A-586/CENIPA/2014,44336,numero,0,0,SUBSTANCIAL,200.0,,,,,narrativa,INSTRUÇÃO,DECOLAGEM,PISTÃO,1,770,2,1991,AERO BOERO,AB-115,PERDA DE CONTROLE NO SOLO,LOC-G,SC,2011,,1,0,1,0,4
pp_ggc_23_03_12.pdf,A-094/CENIPA/2013,48053,numero,0,0,SUBSTANCIAL,8400.0,1700.0,,,,narrativa,PRIVADA,APROXIMAÇÃO FINAL,PISTÃO,1,1724,6,1979,CESSNA AIRCRAFT,210N,FALHA DO MOTOR EM VOO,SCF-PP,MS,2013,,1,0,0,0,0
pp_ggg_18_11_09.pdf,A-048/CENIPA/2011,40067,numero,0,0,SUBSTANCIAL,245.67,124.5,39.17,2.42,,tabela,INSTRUÇÃO,TÁXI,PISTÃO,1,770,2,1992,AERO BOERO,AB-115,PERDA DE CONTROLE NO SOLO,LOC-G,SP,2009,,9,0,1,0,2
pp_gij_03_12_13.pdf,A-211/CENIPA/2013,50341,numero,0,0,SUBSTANCIAL,1600.0,40.0,,,,narrativa,INSTRUÇÃO,CORRIDA APÓS POUSO,PISTÃO,1,844,3,1992,AERO BOERO,AB-180,PERDA DE CONTROLE NO SOLO,LOC-G,RS,2013,,0,0,1,0,2
